"beta","M"
2,-0.1756
1.66666666666667,-0.1132
1.42857142857143,0.0832
1.25,0.0614
1.11111111111111,0.0236
1,-0.0102
0.909090909090909,-0.0586
0.833333333333333,0.0752
0.769230769230769,0.076
0.714285714285714,-0.0566
0.666666666666667,0.3334
0.625,0.0552
0.588235294117647,-0.1166
0.555555555555556,-0.0446
0.526315789473684,-0.1226
0.5,-0.0472
0.476190476190476,0.052
0.454545454545455,0.1046
0.434782608695652,-0.047
0.416666666666667,0.0694
0.4,-0.0516
0.384615384615385,0.0038
0.37037037037037,0.084
0.357142857142857,-0.0406
0.344827586206897,-0.0498
0.333333333333333,-0.0096
0.32258064516129,-0.0398
0.3125,-0.0012
0.303030303030303,-4e-04
0.294117647058823,0.0042
0.285714285714286,0.0624
0.277777777777778,-0.042
0.27027027027027,0.0106
0.263157894736842,0.0206
0.256410256410256,0.0278
0.25,0.017
0.24390243902439,-0.0166
0.238095238095238,-0.0194
0.232558139534884,-0.011
0.227272727272727,-0.0108
0.222222222222222,-0.0268
0.217391304347826,0.017
0.212765957446809,-0.0054
0.208333333333333,-0.0256
0.204081632653061,-0.0068
0.2,-0.007
